date,variable,value
19011207,TMIN,0
19011208,TMAX,50
19011208,TMIN,0
19011209,TMAX,0
19011209,TMIN,-50
19011210,TMAX,39
19011210,TMIN,-56
19011211,TMAX,17
19011211,TMIN,-33
19011212,TMAX,128
19011212,TMIN,0
19011213,TMAX,33
19011213,TMIN,-89
19011214,TMAX,-89
19011214,TMIN,-217
19011215,TMAX,-144
19011215,TMIN,-233
19011216,TMAX,-111
19011216,TMIN,-183
19011217,TMAX,-89
19011217,TMIN,-144
19011218,TMAX,-144
19011218,TMIN,-194
19011219,TMAX,-156
19011219,TMIN,-233
19011220,TMAX,-156
19011220,TMIN,-239
19011221,TMAX,-56
19011221,TMIN,-178
19011222,TMAX,44
19011222,TMIN,-67
19011223,TMAX,44
19011223,TMIN,11
19011224,TMAX,61
19011224,TMIN,11
19011225,TMAX,17
19011225,TMIN,-6
19011226,TMAX,33
19011226,TMIN,-11
19011227,TMAX,22
19011227,TMIN,0
19011228,TMAX,6
19011228,TMIN,-11
19011229,TMAX,11
19011229,TMIN,-22
19011230,TMAX,44
19011230,TMIN,-44
19011231,TMAX,72
19011231,TMIN,-6
19020101,TMAX,56
19020101,TMIN,-28
19020102,TMAX,61
19020102,TMIN,-17
19020103,TMAX,-17
19020103,TMIN,-106
19020104,TMAX,-17
19020104,TMIN,-111
19020105,TMAX,17
19020105,TMIN,-78
19020106,TMAX,67
19020106,TMIN,-44
19020107,TMAX,100
19020107,TMIN,11
19020108,TMAX,122
19020108,TMIN,28
19020109,TMAX,139
19020109,TMIN,28
19020110,TMAX,78
19020110,TMIN,0
19020111,TMAX,0
19020111,TMIN,-33
19020112,TMAX,-33
19020112,TMIN,-83
19020113,TMAX,-17
19020113,TMIN,-128
19020114,TMAX,83
19020114,TMIN,-50
19020115,TMAX,72
19020115,TMIN,-28
19020116,TMAX,17
19020116,TMIN,-33
19020117,TMAX,67
19020117,TMIN,-44
19020118,TMAX,33
19020118,TMIN,-33
19020119,TMAX,72
19020119,TMIN,-39
19020120,TMAX,33
19020120,TMIN,-6
19020121,TMAX,11
19020121,TMIN,-17
19020122,TMAX,11
19020122,TMIN,-17
19020123,TMAX,17
19020123,TMIN,-72
19020124,TMAX,-33
19020124,TMIN,-78
19020125,TMAX,-33
19020125,TMIN,-106
19020126,TMAX,17
19020126,TMIN,-150
19020127,TMAX,-133
19020127,TMIN,-222
19020128,TMAX,-89
19020128,TMIN,-189
19020129,TMAX,-89
19020129,TMIN,-106
19020130,TMAX,-44
19020130,TMIN,-100
19020131,TMAX,-22
19020131,TMIN,-72
19020201,TMAX,-39
19020201,TMIN,-106
19020202,TMAX,-106
19020202,TMIN,-194
19020203,TMAX,-106
19020203,TMIN,-200
